date,trend_inflation,isPartial
2023-12-31,47,False
2024-01-07,59,False
2024-01-14,51,False
2024-01-21,59,False
2024-01-28,60,False
2024-02-04,65,False
2024-02-11,75,False
2024-02-18,66,False
2024-02-25,72,False
2024-03-03,72,False
2024-03-10,72,False
2024-03-17,58,False
2024-03-24,58,False
2024-03-31,60,False
2024-04-07,85,False
2024-04-14,69,False
2024-04-21,68,False
2024-04-28,66,False
2024-05-05,66,False
2024-05-12,73,False
2024-05-19,59,False
2024-05-26,60,False
2024-06-02,55,False
2024-06-09,59,False
2024-06-16,49,False
2024-06-23,61,False
2024-06-30,47,False
2024-07-07,62,False
2024-07-14,52,False
2024-07-21,54,False
2024-07-28,54,False
2024-08-04,53,False
2024-08-11,77,False
2024-08-18,59,False
2024-08-25,59,False
2024-09-01,53,False
2024-09-08,86,False
2024-09-15,68,False
2024-09-22,61,False
2024-09-29,57,False
2024-10-06,62,False
2024-10-13,58,False
2024-10-20,63,False
2024-10-27,68,False
2024-11-03,91,False
2024-11-10,77,False
2024-11-17,61,False
2024-11-24,53,False
2024-12-01,57,False
2024-12-08,67,False
2024-12-15,54,False
2024-12-22,43,False
2024-12-29,41,False
2025-01-05,48,False
2025-01-12,57,False
2025-01-19,63,False
2025-01-26,58,False
2025-02-02,62,False
2025-02-09,75,False
2025-02-16,67,False
2025-02-23,64,False
2025-03-02,60,False
2025-03-09,83,False
2025-03-16,53,False
2025-03-23,57,False
2025-03-30,67,False
2025-04-06,69,False
2025-04-13,50,False
2025-04-20,51,False
2025-04-27,60,False
2025-05-04,53,False
2025-05-11,64,False
2025-05-18,52,False
2025-05-25,52,False
2025-06-01,44,False
2025-06-08,50,False
2025-06-15,44,False
2025-06-22,45,False
2025-06-29,48,False
2025-07-06,50,False
2025-07-13,73,False
2025-07-20,72,False
2025-07-27,100,False
2025-08-03,61,False
2025-08-10,79,False
2025-08-17,47,False
2025-08-24,52,False
2025-08-31,49,False
2025-09-07,57,False
2025-09-14,55,False
2025-09-21,65,False
2025-09-28,67,False
2025-10-05,62,False
2025-10-12,58,False
2025-10-19,68,False
